Haplogroup	Frequency_Southeast_Asia	Frequency_non_Southeast_Asia	Total_Southeast_Asia	Total_non_Southeast_Asia
M71a1a	0.002707	0.000064	6649	46825
M71a2	0.001805	0.000064	6649	46825
M71b	0.000451	0.000107	6649	46825
M71c	0.000752	0.000021	6649	46825
M72	0.001504	0.000043	6649	46825
M72a	0.002256	0.000021	6649	46825
M73	0.002256	0.000000	6649	46825
M73a1	0.000451	0.000021	6649	46825
M73b	0.003459	0.000021	6649	46825
M74	0.001203	0.000085	6649	46825
M74a	0.005414	0.000769	6649	46825
M74b	0.003459	0.000064	6649	46825
M74b1	0.007971	0.000043	6649	46825
M74b2	0.002858	0.000128	6649	46825
M75	0.000602	0.000342	6649	46825
M76	0.003610	0.000043	6649	46825
M76a	0.000902	0.000128	6649	46825
M77	0.001053	0.000000	6649	46825
M79	0.001053	0.000021	6649	46825
M7a	0.000752	0.000000	6649	46825
M7a+16324	0.000752	0.000043	6649	46825
M7a1a6	0.000150	0.000085	6649	46825
M7b	0.000752	0.000000	6649	46825
M7b1a	0.000451	0.000149	6649	46825
M7b1a1	0.006317	0.007795	6649	46825
M7b1a1+(16192)	0.011731	0.000726	6649	46825
M7b1a1a	0.002406	0.001538	6649	46825
M7b1a1a1	0.000602	0.001452	6649	46825
M7b1a1a2	0.002707	0.000320	6649	46825
M7b1a1a3	0.009926	0.002392	6649	46825
M7b1a1b	0.005866	0.003524	6649	46825
M7b1a1d1	0.001203	0.000662	6649	46825
M7b1a1e	0.000301	0.000448	6649	46825
M7b1a1e1	0.004211	0.000854	6649	46825
M7b1a1e2	0.000150	0.000470	6649	46825
M7b1a1f	0.007370	0.001687	6649	46825
M7b1a1g	0.000150	0.000427	6649	46825
M7b1a1h	0.001053	0.001260	6649	46825
M7b1a1i	0.000451	0.000128	6649	46825
M7b1a2a1	0.000752	0.000384	6649	46825
M7b2a	0.000301	0.000171	6649	46825
M7c	0.000451	0.000000	6649	46825
M7c1	0.001203	0.002712	6649	46825
M7c1a	0.004512	0.001943	6649	46825
M7c1a4a	0.000301	0.000107	6649	46825
M7c1b2b	0.001053	0.001495	6649	46825
M7c1c1	0.000301	0.000171	6649	46825
M7c1c2	0.003459	0.002499	6649	46825
M7c1c2a	0.000451	0.000064	6649	46825
M7c1c3	0.005414	0.008735	6649	46825
M7c1c3a	0.000150	0.000000	6649	46825
M7c1c3a1	0.000150	0.000107	6649	46825
M7c1c3b	0.000602	0.000021	6649	46825
M7c1c3d	0.000301	0.000021	6649	46825
M7c1c3e	0.000150	0.000043	6649	46825
M7c2	0.000752	0.000577	6649	46825
M7c2a	0.001805	0.000021	6649	46825
M7c2b	0.000150	0.000171	6649	46825
M7c3	0.000150	0.000149	6649	46825
M8a2'3	0.000301	0.001837	6649	46825
M8a2a	0.000301	0.000897	6649	46825
M8a2a1	0.002256	0.002456	6649	46825
M9	0.002256	0.001068	6649	46825
M91a	0.003309	0.000043	6649	46825
M91b	0.001354	0.000000	6649	46825
M9a	0.000150	0.000470	6649	46825
M9a'b	0.001053	0.000128	6649	46825
M9a1	0.000150	0.000043	6649	46825
M9a1a1	0.000451	0.000256	6649	46825
M9a1a2	0.000451	0.001196	6649	46825
M9a1a3	0.000602	0.000171	6649	46825
M9a1b+150	0.001654	0.000214	6649	46825
M9a1b1	0.004211	0.001623	6649	46825
M9a4a	0.000150	0.000128	6649	46825
M9a4a1	0.000451	0.000256	6649	46825
M9a4a2	0.000902	0.000256	6649	46825
M9a5	0.000752	0.000128	6649	46825
M9b	0.000451	0.000470	6649	46825
N	0.001053	0.000299	6649	46825
N10a	0.001955	0.000555	6649	46825
N10b	0.000150	0.000320	6649	46825
N11b	0.002256	0.000000	6649	46825
N1a1a1a1	0.000150	0.000107	6649	46825
N21	0.004662	0.000107	6649	46825
N21+195	0.007670	0.000021	6649	46825
N21a	0.001203	0.000021	6649	46825
N22	0.001805	0.000043	6649	46825
N7	0.000150	0.000000	6649	46825
N7a	0.000451	0.000000	6649	46825
N7a1	0.000451	0.000000	6649	46825
N7a2	0.001203	0.000000	6649	46825
N7b	0.001203	0.000000	6649	46825
N8	0.005114	0.000043	6649	46825
N9a	0.002256	0.001452	6649	46825
N9a1	0.001203	0.006877	6649	46825
N9a10	0.001354	0.002541	6649	46825
N9a10+16311	0.005565	0.000043	6649	46825
N9a11	0.000150	0.000299	6649	46825
N9a2a1	0.000150	0.000149	6649	46825
N9a2c	0.000150	0.000107	6649	46825
N9a3	0.000301	0.002926	6649	46825
N9a4	0.000150	0.000598	6649	46825
N9a4b	0.000752	0.000043	6649	46825
N9a6	0.005715	0.000021	6649	46825
N9a6a	0.001053	0.000043	6649	46825
N9b1c	0.000451	0.000043	6649	46825
P4a	0.000150	0.000171	6649	46825
Q1c1a	0.000150	0.000107	6649	46825
Q1d	0.000150	0.000171	6649	46825
R	0.000451	0.000918	6649	46825
R+16189	0.002858	0.000021	6649	46825
R11'B6	0.001203	0.000021	6649	46825
R11b1	0.000752	0.000064	6649	46825
R2+13500	0.000301	0.000491	6649	46825
R21	0.000150	0.000043	6649	46825
R22	0.020304	0.000043	6649	46825
R23	0.001805	0.000000	6649	46825
R24	0.000150	0.000000	6649	46825
R30	0.000150	0.000085	6649	46825
R30b2a	0.000150	0.000043	6649	46825
R31a	0.000150	0.000043	6649	46825
R5a	0.000150	0.000000	6649	46825
R5a1a	0.000451	0.000064	6649	46825
R5a2a	0.000301	0.000043	6649	46825
R6a2	0.000451	0.000064	6649	46825
R6b	0.000301	0.000021	6649	46825
R7	0.000150	0.000021	6649	46825
R8a1+16093	0.000150	0.000021	6649	46825
R9	0.000301	0.000064	6649	46825
R9b	0.000752	0.000299	6649	46825
R9b1	0.001053	0.000427	6649	46825
R9b1a	0.002707	0.000000	6649	46825
R9b1a1	0.000150	0.000000	6649	46825
R9b1a1a	0.008573	0.000577	6649	46825
R9b1a2a	0.000752	0.000555	6649	46825
R9b1a2b	0.000752	0.000128	6649	46825
R9b1a3	0.004512	0.001495	6649	46825
R9b1b	0.004211	0.000854	6649	46825
R9b2	0.004813	0.000491	6649	46825
R9c	0.000150	0.000171	6649	46825
R9c1a	0.001053	0.000876	6649	46825
R9c1b1	0.002106	0.000918	6649	46825
R9c1b2	0.000451	0.000043	6649	46825
T2a+195	0.000150	0.000021	6649	46825
U1a1c1a	0.000150	0.000064	6649	46825
U1a1c1d	0.000301	0.000107	6649	46825
U2+152	0.000150	0.000000	6649	46825
U2a1	0.000150	0.000021	6649	46825
U2a1a	0.001203	0.000085	6649	46825
U2a1b	0.000150	0.000043	6649	46825
U2a2	0.000150	0.000171	6649	46825
U2b	0.001203	0.000064	6649	46825
U2b1	0.001203	0.000149	6649	46825
U2b2	0.000451	0.000406	6649	46825
U2c1	0.000150	0.000064	6649	46825
U2c1b	0.000150	0.000085	6649	46825
U6	0.000150	0.000128	6649	46825
W3a1b	0.001203	0.000107	6649	46825
W3b	0.000150	0.000491	6649	46825
W4a	0.000150	0.000043	6649	46825
X	0.000602	0.000000	6649	46825
Y1	0.000150	0.001858	6649	46825
Y1b1a	0.000150	0.000085	6649	46825
Y2	0.000150	0.001324	6649	46825
Y2a	0.000301	0.000149	6649	46825
Y2a1	0.002106	0.000043	6649	46825
Z	0.000451	0.001751	6649	46825
Z+152	0.003008	0.000384	6649	46825
Z3	0.000451	0.003972	6649	46825
Z3a	0.001354	0.000448	6649	46825
Z3a1a	0.000301	0.000235	6649	46825
Z3c	0.000451	0.001773	6649	46825
Z4	0.000301	0.001196	6649	46825
Z4a1a1	0.000602	0.000085	6649	46825
